COURSEID,COURSECODE,COURSETITLE,COURSECREDITS
115,CMPS316,PROGRAMMING LANGUAGES,3
116,CMPS317,ADVANCED GUI DEVELOPMENT,3
117,CMPS319,SYSTEMS ENGINEERING,3
118,CMPS321,TELECOMMUNICATIONS SYSTEMS,3
119,CMPS323,SYSTEMS ADMINISTRATION,3
120,CMPS328,DATABASE MGMT. SYS. II,3
121,CMPS332,P C REPAIR,3
122,CMPS360,MANAGEMENT INFORMATION SYSTEM,3
123,CMPS414,NETWORKING II,3
124,CMPS4151,NETWORK ENGINEERING,3
125,CMPS4211,ADVANCED PC REPAIR,3
126,CMPS4251,COMPUTER AND NETWORK SECURITY,3
127,CRTH1014,CRITICAL THINKING,3
129,ECON1014,INTRODUCTION TO ECONOMICS,3
128,ECON101,INTRODUCTION TO ECONOMICS ,3
130,ECON2014,PRINCIPLES OF ECONOMICS (MACRO),3
131,ECON2054,PRINCIPLES OF ECONOMICS (MICRO),3
132,ECON221,PRINCIPLES OF ECONOMICS I (MACRO),3
133,ECON222,PRINCIPLES OF ECONOMICS (MICRO),3
134,EDUC1051,INTRODUCTION TO EDUCATION,3
135,EDUC1052,TEACHING METHODS FOR THE PRIMARY CURRICULUM,4
136,EDUC1092,NATURE OF THE LEARNER,4
138,EDUC2224,TEACHING METHODS FOR SECONDARY LEVEL,3
137,EDUC222,TEACHING METHODS,3
139,EDUC240,EDUCATIONAL PSYCHOLOGY 1,3
140,EDUC3101,SOCIAL CONTEXT OF SCHOOLING,3
141,EDUC324,PSYCHOLOGY OF LEARNING,3
142,EDUC3252,INTRODUCTION TO GUIDANCE & COUNSELLING,3
143,EDUC3403,PSYCHOLOGY OF LEARNING,3
144,EDUC3451,PHILOSOPHY OF EDUCATION,3
145,EDUC3453,CLASSROOM ASSESSMENT,3
146,EDUC3454,INSTRUCTIONAL TECHNOLOGY,3
147,EDUC3552,ADOLESCENT PSYCHOLOGY,3
148,EDUC4256,MEASUREMENT AND EVALUATION,3
149,EENG2151,LANGUAGE METHODS FOR PRIMARY SCHOOL TEACHERS I,3
150,ELEC1101L,ELECTRICAL WORKSHOP (PRACTICE) I,1
151,ELEC1401,ELECTRICAL ENGINEERING SCIENCE I,3
152,EMAT1101,COLLEGE MATH FOR PRIMARY SCHOOL TEACHERS I,3
153,ENG090,REMEDIAL ENGLISH,0
154,ENGL0014,DEVELOPMENTAL ENGLISH,0
155,ENGL0090,PRE-COLLEGE ENGLISH I,0
156,ENGL0095,PRE-COLLEGE ENGLISH II,0
157,ENGL090,DEVELOPMENTAL ENGLISH,3
158,ENGL1014,COLLEGE ENGLISH I,3
159,ENGL1025,COLLEGE ENGLISH II,3
160,ENGL1035,THE COMPOSING PROCESS,3
161,ENGL1107,GRAMMAR & USAGE,3
162,ENGL111,COLLEGE ENGLISH I,3
163,ENGL112,COLLEGE ENGLISH II,3
164,ENGL123,GRAMMAR & USAGE,3
165,ENGL150,INTRODUCTION TO LITERATURE 1,3
166,ENGL2105,COMMUNICATION SKILLS,3
167,ENGL299,THE COMPOSING PROCESS,3
168,ENGL3105,LANGUAGE AND COMMUNICATION,3
169,ENGL3155,TECHNICAL WRITING,3
170,ENGL318,TECHNICAL WRITING.,3
171,ENL090,DEVELOPMENTAL ENGLISH,0
172,ESCI1151,SCIENCE FOR PRIMARY SCHOOL TEACHERS,3
173,FNAN221,PRINCIPLES OF FINANCE,3
174,FNAN3015,FINANCIAL MANAGEMENT,3
175,GSTU101,STUDY SKILLS,1
176,HIST1014,INTRODUCTION TO BELIZEAN HISTORY,3
177,HIST1051,INTRODUCTION TO HISTORY,3
178,HIST1101,PRE-COLOMBIAN SOCIETIES IN L.AMER. & CARIB.,3
179,HIST1201,POLITICAL & ECONOMIC HISTORY OF BELIZE,3
180,HIST201,BELIZEAN HISTORY,3
181,HIST2402,A HISTORY OF MEXICO,3
182,HURG211,INTRODUCTION TO HUMAN RIGHTS,3
183,LING1152,FUNDAMENTALS OF LINGUISTICS,3
184,LITR1157,SURVEY OF LITERATURE I,3
185,LITR150,SURVEY OF LITERATURE I,3
187,LITR2106,SURVEY OF LITERATURE II,3
186,LITR210,BRITISH LITERATURE,3
188,LITR2156,BRITISH LITERATURE,3
189,LITR2206,AFRICAN LITERATURE I,3
190,LITR2257,CARIBBEAN LITERATURE I,3
191,LITR2357,LATIN AMERICAN LITERATURE I,3
192,LITR240,CARIBBEAN LITR.,3
193,LITR270,AFRICAN LITERATURE I,3
194,LITR280,LITERATURE OF THE AMERICAS I,3
195,LITR400,AFRICAN LITERATURE,3
196,MAT090,DEVELOPMENTAL MATHEMATICS,3
197,MAT103,TRIGONOMETRY 1,3
198,MAT205,MECHANICS,3
199,MAT206,MECHANICS 2,3
200,MATH0014,DEVELOPMENTAL MATH,0
201,MATH090,REMEDIAL MATH,0
203,MATH1014,INTERMEDIATE ALGEBRA,3
202,MATH101,ALGEBRA 1,3
204,MATH102,COMPLEX NUMBERS & VECTORS,3
206,MATH1045,PRE-CALCULUS,3
205,MATH104,CALCULUS I,3
207,MATH114,FUNDAMENTALS OF PRIMARY MATH 1,3
208,MATH1151,ALGEBRA,3
209,MATH1201,TRIGONOMETRY,3
211,MATH1212,MATHEMATICAL SOFTWARE,3
210,MATH121,INTERMEDIATE ALGEBRA,3
212,MATH124,TRIGONOMETRY,3
214,MATH1252,COMPLEX NUMBERS & VECTORS,3
213,MATH125,ADVANCED ALGEBRA,3
215,MATH1302,CALCULUS I,3
217,MATH2025,BUSINESS STATISTICS I,3
216,MATH202,STATISTICS 2,3
218,MATH203,CALCULUS II,3
219,MATH204,MATHEMATICS OF MODELING,3
220,MATH207,STATISTICS,3
221,MATH208,INTRO TO DISCRETE MATHEMATICS,3
222,MATH210,DIFFERENTIAL CALCULUS,4
223,MATH2151,STATISTICS I,3
224,MATH2201,CALCULUS II,3
225,MATH2251,INTRO TO DISCRETE MATH,3
226,MATH2302,MATH MODELING,3
227,MATH2352,STATISTICS II,3
228,MATH2402,MECHANICS I,3
229,MATH250,APPLIED MATHEMATICS,3
230,MATH3012,BIOSTATISTICS II,3
231,MATH3151,LINEAR ALGEBRA,3
232,MATH322,LINEAR ALGEBRA 1,3
233,MATH3251,CALCULUS III,3
234,MATH330,DISCRETE MATHEMATHICS,3
235,MATH333,CALCULUS III,3
236,MATH402,EUCLIDEAN & NON-EUCLIDEAN GEOMETRY,3
237,MATH441,NUMERICAL ANALYSIS,3
238,MATH480,LINEAR PROGRAMMING.,3
239,MECH1101L,MECHANICAL WORKSHOP (PRACTICE) I,1
240,MECH1301,ENGINEERING DRAWING & DESIGN I,3
241,MECH1401,MATERIAL SCIENCE WRKSHOP TECH.,3
242,MECH1451,MECHANICAL ENGINEERING SCIENCE I,3
244,MGMT1014,FUNDAMENTALS OF MANAGEMENT,3
